board_rank,name,pos,team,bye,inj,proj_ppr,proj_half,proj_std,adp_ppr,adp_half,adp_std,adp_ppr_sleeper,adp_ppr_espn,adp_sources,gp,rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,pass_yd,pass_td,pass_int,sleeper_id,espn_id
198,Tank Bigsby,RB,PHI,10,,66.2,61.2,57.2,164.5,157.0,151.6,181.7,169.6,4,18,6,44,0.1,85,373,3.3,,,,9225,
199,Cyrus Allen,WR,KC,5,,73.8,77.5,60.5,164.8,165.7,158.3,180.5,169.9,4,18,27,335,2.3,,,,,,,13413,
200,Caleb Douglas,WR,MIA,6,,108.3,77.8,60.8,165.8,169.6,159.9,197.0,170.8,5,18,39,503,2.5,13,71,0.4,,,,13296,
201,Germie Bernard,WR,PIT,9,,103.8,80.9,62.9,166.0,169.9,137.6,229.8,171.2,3,18,38,471,2.9,2,11,0.1,,,,13274,
202,Keaton Mitchell,RB,LAC,7,,95.4,87.9,78.9,166.1,161.6,152.3,185.2,169.0,4,18,19,146,0.9,86,414,2.7,,,,9511,
203,Emmett Johnson,RB,KC,5,,59.5,59.2,53.2,166.5,159.3,137.4,205.5,169.9,4,18,10,73,0.7,64,272,2.0,,,,13337,
204,Keenan Allen,WR,IND,13,,115.4,84.8,62.8,166.6,161.1,170.4,201.0,166.0,5,18,49,493,2.8,,,,,,,1479,15818
205,Evan McPherson,K,CIN,6,,123.9,106.0,106.0,166.6,161.4,181.1,179.9,169.1,4,18,,,,,,,,,,7839,
206,Tyler Loop,K,BAL,13,,126.0,106.0,106.0,166.9,171.2,151.8,174.7,165.3,4,18,,,,,,,,,,12711,
207,Kayshon Boutte,WR,HOU,8,,132.2,104.7,84.2,167.0,160.4,153.6,195.5,170.4,5,18,46,635,3.8,,,,,,,9504,
208,Tyrone Tracy,RB,NYG,8,,76.1,100.8,90.3,167.2,159.5,143.9,186.3,170.3,4,18,16,121,0.7,80,340,1.7,,,,11655,
209,George Holani,RB,SEA,11,,35.0,23.2,21.2,167.2,344.8,163.1,,170.3,2,18,5,40,0.2,39,163,1.5,,,,12048,
210,Chris Brooks,RB,GB,11,,63.9,49.3,42.3,167.4,343.4,172.2,,170.8,2,18,17,118,0.7,52,221,1.9,,,,11370,
211,DeMario Douglas,WR,NE,11,,90.8,65.9,51.4,167.6,344.0,,,170.5,2,18,33,411,2.3,5,28,0.2,,,,9501,
212,C.J. Stroud,QB,HOU,8,,251.1,247.8,247.8,167.7,170.4,157.7,202.3,165.3,4,18,,,,56,228,1.5,3844,22.1,12,9758,
213,Xavier Hutchinson,WR,HOU,8,,64.0,29.7,22.7,168.0,338.4,166.9,,170.5,2,18,24,300,1.5,2,12,0.1,,,,10218,
214,Omar Cooper,WR,NYJ,13,,107.4,104.6,82.1,168.1,168.8,145.4,192.9,171.0,4,18,39,482,3.1,3,13,0.1,,,,13276,
215,Daniel Jones,QB,IND,13,,249.4,223.5,223.5,169.3,175.5,171.1,199.9,161.2,4,18,,,,61,252,4.0,3589,19.6,11,5870,3917792
216,KaVontae Turpin,WR,DAL,14,,69.0,61.0,50.5,169.7,431.5,,,169.7,1,18,19,248,1.8,16,90,0.7,,,,8917,
217,Cole Kmet,TE,CHI,10,,66.7,62.7,45.7,169.7,426.5,,,169.7,1,18,28,278,1.8,,,,,,,6826,4258595
218,Darnell Washington,TE,PIT,9,,78.8,68.6,52.1,169.9,422.3,,,169.9,1,18,32,323,2.4,,,,,,,9479,
219,Dawson Knox,TE,BUF,7,,72.3,62.4,48.4,169.9,426.7,,,169.9,1,18,27,285,2.9,,,,,,,5906,3930086
220,Elijah Arroyo,TE,SEA,11,,62.4,57.7,43.2,169.9,418.8,,,169.9,1,18,25,270,1.8,,,,,,,12521,
221,Noah Gray,TE,KC,5,,60.0,47.1,35.1,169.9,426.6,,,169.9,1,18,25,247,1.7,,,,,,,7828,
222,Ja'Tavion Sanders,TE,CAR,5,,33.5,19.9,14.9,169.9,432.1,,,169.9,1,18,15,126,1.0,,,,,,,11600,
223,Erick All,TE,CIN,6,,70.7,,,170.0,367.6,,,170.0,1,18,30,275,2.2,,,,,,,11592,
224,Carson Beck,QB,ARI,14,,54.9,54.9,54.9,170.0,431.4,,,170.0,1,18,,,,12,38,1.0,778,5.0,4,13272,
225,Drew Sample,TE,CIN,6,,40.1,25.1,18.6,170.0,312.1,,,170.0,1,18,17,155,1.2,,,,,,,6001,3127310
226,Jalen McMillan,WR,TB,10,Doubtful,126.0,105.4,83.4,170.1,178.3,158.6,209.2,163.3,5,17,44,557,3.8,5,28,0.2,,,,11618,
227,Andrei Iosivas,WR,CIN,6,,79.5,75.3,59.3,170.1,435.5,,,170.1,1,18,28,340,2.7,2,11,0.1,,,,10226,
228,Mack Hollins,WR,NE,11,,74.7,47.6,37.6,170.1,433.6,,,170.1,1,18,27,337,2.3,1,6,,,,,4177,2991662
229,Daniel Carlson,K,NO,8,,120.8,104.0,104.0,170.1,416.7,182.3,,170.1,1,18,,,,,,,,,,5095,3051909
230,Mike Gesicki,TE,CIN,6,,100.7,83.9,62.9,170.2,414.9,,,170.2,1,18,39,401,3.6,,,,,,,4993,3116164
231,Emari Demercado,RB,DAL,14,,70.3,49.5,41.0,170.2,424.4,,,170.2,1,18,15,102,0.7,68,307,1.8,,,,11199,
232,Tyquan Thornton,WR,KC,5,,70.0,52.6,42.6,170.3,434.4,,,170.3,1,18,22,333,2.5,,,,,,,8188,
233,LeQuint Allen,RB,JAX,7,Questionable,50.0,47.2,38.2,170.3,430.1,,,170.3,1,17,19,133,0.9,20,83,0.6,,,,12544,
234,Darren Waller,TE,CAR,5,,118.5,99.1,75.6,170.4,425.3,,,170.4,1,18,45,494,4.0,,,,,,,2505,2576925
235,Isaiah Davis,RB,NYJ,13,,55.8,54.0,47.5,170.4,432.9,,,170.4,1,18,13,95,0.4,51,220,1.7,,,,11571,
236,Jalen Tolbert,WR,MIA,6,,54.0,27.7,21.2,170.5,393.9,,,170.5,1,18,21,257,1.2,,,,,,,8117,
237,Jahan Dotson,WR,ATL,11,,81.4,58.2,45.2,170.6,428.4,,,170.6,1,18,30,377,2.1,2,16,,,,,8119,
238,Trey Smack,K,GB,11,,107.0,70.0,70.0,170.6,171.9,239.8,194.9,168.3,3,18,,,,,,,,,,13545,
