board_rank,name,pos,team,bye,inj,proj_ppr,proj_half,proj_std,adp_ppr,adp_half,adp_std,adp_ppr_sleeper,adp_ppr_espn,adp_sources,gp,rec,rec_yd,rec_td,rush_att,rush_yd,rush_td,pass_yd,pass_td,pass_int,sleeper_id,espn_id
332,Elic Ayomanor,WR,TEN,9,,56.7,46.7,36.7,241.5,699.1,184.8,241.5,,1,18,20,247,2.0,,,,,,,12499,
333,Christian Kirk,WR,SF,8,IR,46.4,36.9,27.4,241.7,692.7,209.5,241.7,,1,18,19,205,1.0,1,9,,,,,4950,3895856
334,Michael Trigg,TE,DAL,14,,33.8,26.8,19.8,249.7,689.9,212.3,249.7,,1,18,14,138,1.0,,,,,,,13401,
335,Brandon Aiyuk,WR,SF,8,DNR,49.6,41.6,33.6,251.4,267.4,176.7,251.4,,1,18,16,213,2.0,,3,,,,,6803,4360438
336,Dominic Zvada,K,NYG,8,,99.6,66.0,66.0,262.6,423.9,255.4,355.3,169.8,2,18,,,,,,,,,,13833,
337,Matt Gay,K,LV,13,,75.0,75.0,75.0,263.3,670.4,211.3,263.3,,1,18,,,,,,,,,,6083,4249087
338,Arizona Cardinals,DEF,ARI,14,,66.0,66.0,66.0,273.0,699.2,269.0,273.0,,1,1,,,,,,,,,,ARI,
339,New York Jets,DEF,NYJ,13,,64.0,64.0,64.0,282.2,690.0,228.4,282.2,,1,1,,,,,,,,,,NYJ,
340,Miami Dolphins,DEF,MIA,6,,62.0,62.0,62.0,299.0,685.0,230.4,299.0,,1,1,,,,,,,,,,MIA,
341,Jacob Saylors,RB,DET,6,,34.1,23.5,21.5,335.0,346.2,163.8,643.8,170.3,3,18,5,39,0.3,36,152,1.3,,,,11237,
342,Andre Szmyt,K,CLE,11,,84.0,84.0,84.0,342.0,667.9,319.0,342.0,,1,18,,,,,,,,,,11261,
343,Ryan Fitzgerald,K,CAR,5,,92.0,92.0,92.0,347.0,659.9,327.0,347.0,,1,18,,,,,,,,,,12961,
344,Chad Ryland,K,ARI,14,,89.0,89.0,89.0,350.0,653.7,253.6,350.0,,1,18,,,,,,,,,,10955,
345,Joey Slye,K,TEN,9,,84.0,84.0,84.0,351.0,631.1,257.1,351.0,,1,18,,,,,,,,,,6528,3124084
346,Drew Stevens,K,WAS,7,,103.8,74.0,74.0,399.8,411.6,173.6,629.7,169.9,2,18,,,,,,,,,,13968,
347,Austin Hooper,TE,ATL,11,,33.2,26.2,19.2,430.0,629.7,,430.0,,1,18,14,132,1.0,,,,,,,3202,3043275
348,John Michael Gyllenborg,TE,KC,5,IR,40.4,34.9,29.4,611.2,696.3,,611.2,,1,18,11,114,1.0,,,,,,,13342,
349,Jackson Hawes,TE,BUF,7,,31.9,25.4,18.9,613.5,661.1,,613.5,,1,18,13,129,1.0,,,,,,,12658,
350,Joe Royer,TE,CLE,11,PUP,57.8,46.3,34.8,683.0,553.0,,683.0,,1,18,23,228,2.0,,,,,,,13435,
351,Kendrick Bourne,WR,ARI,14,,77.4,61.9,46.4,,672.6,,,,0,18,31,344,2.0,,,,,,,4454,3045523
352,Olamide Zaccheaus,WR,ATL,11,,75.8,60.8,45.8,,697.7,,,,0,18,30,326,2.0,2,12,,,,,6271,3917914
353,Demarcus Robinson,WR,SF,8,,73.4,59.9,46.4,,679.0,,,,0,18,27,344,2.0,,,,,,,3286,3043116
354,Marquise Brown,WR,PHI,10,,67.5,55.0,42.5,,684.9,,,,0,18,25,305,2.0,,,,,,,5848,4241372
355,Isaiah Bond,WR,CLE,11,,62.8,51.8,40.8,,682.5,,,,0,18,22,269,2.0,3,19,,,,,12503,
356,Will Kacmarek,TE,MIA,6,,61.6,49.1,36.6,,537.3,,,,0,18,25,246,2.0,,,,,,,13434,
357,Josh Cameron,WR,JAX,7,,59.6,49.1,38.6,,655.8,,,,0,18,21,244,2.0,4,22,,,,,13394,
358,Justin Joly,TE,MIA,6,,58.0,46.5,35.0,,683.8,,,,0,18,23,230,2.0,,,,,,,13400,
359,Jack Endries,TE,CIN,6,,53.3,42.8,32.3,,508.3,,,,0,18,21,203,2.0,,,,,,,13282,
360,John Metchie,WR,CAR,5,,48.8,38.8,28.8,,696.9,,,,0,18,20,220,1.0,1,8,,,,,8147,
361,Greg Dortch,WR,BUF,7,,48.1,37.6,27.1,,584.5,,,,0,18,21,215,1.0,3,16,,,,,5970,4037235
362,Elijah Higgins,TE,ARI,14,,41.9,32.9,23.9,,668.1,,,,0,18,18,179,1.0,,,,,,,10231,
363,Konata Mumpfield,WR,LAR,11,,41.7,33.7,25.7,,678.2,,,,0,18,16,197,1.0,,,,,,,12718,
364,Daniel Bellinger,TE,TEN,9,,40.1,31.6,23.1,,680.8,,,,0,18,17,171,1.0,,,,,,,8225,
365,CJ Daniels,WR,LAR,11,Out,39.3,31.8,24.3,,649.6,,,,0,18,15,177,1.0,1,6,,,,,13270,
366,Tez Johnson,WR,TB,10,,38.4,31.4,24.4,,673.8,,,,0,18,14,174,1.0,2,10,,,,,12485,
367,Charlie Kolar,TE,LAC,7,,38.4,30.4,22.4,,660.8,,,,0,18,16,162,1.0,1,2,,,,,8127,
368,Jaylin Lane,WR,WAS,7,,37.7,30.7,23.7,,691.0,,,,0,18,14,163,1.0,2,14,,,,,12641,
369,Zach Ertz,TE,,,,36.7,28.7,20.7,,646.0,,,,0,18,16,147,1.0,,,,,,,1339,15835
370,Noah Fant,TE,NO,8,,36.6,29.1,21.6,,642.2,,,,0,18,15,156,1.0,,,,,,,5857,4036131
371,Trevor Etienne,RB,CAR,5,IR,36.2,32.2,28.2,,690.4,,,,0,18,8,58,,40,164,1.0,,,,12531,
372,Jonnu Smith,TE,GB,11,,35.9,28.4,20.9,,695.2,,,,0,18,15,139,1.0,2,10,,,,,4144,3054212
373,KeAndre Lambert-Smith,WR,LAC,7,,35.5,29.0,22.5,,647.5,,,,0,18,13,159,1.0,1,6,,,,,12670,
374,Treylon Burks,WR,WAS,7,,34.8,28.8,22.8,,678.8,,,,0,18,12,152,1.0,3,16,,,,,8135,
375,Jalen Royals,WR,KC,5,,33.9,27.4,20.9,,686.3,,,,0,18,13,143,1.0,1,6,,,,,12505,
376,Sam Roush,TE,CHI,10,,33.5,26.5,19.5,,630.0,,,,0,18,14,135,1.0,,,,,,,13322,
377,Israel Abanikanda,RB,DAL,14,,33.3,28.8,24.3,,678.7,,,,0,18,9,59,,34,124,1.0,,,,9227,
378,Cade Stover,TE,HOU,8,,33.2,26.2,19.2,,682.7,,,,0,18,14,130,1.0,2,2,,,,,11599,
379,Tanner Koziol,TE,JAX,7,,32.8,25.8,18.8,,,,,,0,18,14,128,1.0,,,,,,,13408,
380,Joshua Palmer,WR,BUF,7,,32.6,26.6,20.6,,624.0,,,,0,18,12,146,1.0,,,,,,,7670,
381,Savion Williams,WR,GB,11,IR,32.0,27.0,22.0,,678.8,,,,0,18,10,118,1.0,6,42,,,,,12482,
382,Matt Hibner,TE,BAL,13,,31.8,25.3,18.8,,685.5,,,,0,18,13,128,1.0,,,,,,,13324,
383,Jason Sanders,K,NYJ,13,,90.0,90.0,90.0,,582.2,,,,0,18,,,,,,,,,,5119,3124679
384,Washington Commanders,DEF,WAS,7,,75.0,75.0,75.0,,677.8,177.9,,,0,1,,,,,,,,,,WAS,
